"chirps" "temp"
18.3500629169499 93.9
14.8446295156685 72.5
16.2431684867598 71.9
15.32319376877 79
15.6486153942644 74.4
15.0838810451312 72.9
16.7893982455558 87.6
15.6690838789091 78.6
13.8534257850576 71.1
13.5658376550536 68.2
17.3359614636706 82.9
16.9385535934286 79.5
16.3330960358943 81
16.07779424324 78.7
15.0915159703734 79.9
17.0073369380732 76.5
14.9283628552047 75.1
17.340780943541 77.8
16.5060147624203 73.6
17.4648891009196 82.9
17.0727222804032 81.3
17.1283076259079 80.6
15.508614715616 70.7
14.9193145242888 75.8
18.706540469542 84.9
16.5373899649276 77.2
18.0015238253345 83.3
14.746840938498 74.4
16.8857282514164 80.5
16.5221397056969 80.9
17.4922974084644 83.9
17.7869147666213 80.7
15.6164425497843 81.1
17.6721383352407 81.5
18.2055138504597 84.1
13.2136719688098 72.8
16.8113916127637 78.8
17.2683095926934 77
18.2351227547554 86.6
17.0844761394139 82
17.8451444131927 86.7
15.7690465628203 78
15.608240941845 68.7
15.0328969925485 76.7
19.2939352526844 82.4
